time_s,x,y,heading,lap_progress,lap_distance,speed,speed_kmh,throttle,brake,steer,setup,aero_mode,drag_force,downforce,front_downforce,rear_downforce,battery_energy,battery_charge,deployment_power,recovery_power,steering_angle,yaw_rate,ax,ay,longitudinal_acceleration,lateral_acceleration,front_slip_angle,rear_slip_angle,front_grip_usage,rear_grip_usage,tire_grip_usage,front_load,rear_load,tire_temperature,tire_wear,tire_condition_grip,lateral_load_transfer,handling_balance,on_track,ai_target_speed,ai_path_error,ai_heading_error,ai_decision
0.016666666666666666,1049.9814251053674,359.9166666666667,-1.5715793700530314,6.347930328666662e-05,0.12065279828053611,5.122703988931339,1.8441734360152822,1.0,0.0,-0.7205778090259335,balanced,corner,0.0,0.0,0.0,0.0,2800000.0,0.7,0.0,0.0,-0.052241891154380174,-0.04698259548808641,-66.8696206776066,-300.0,300.0,-66.86962067760662,0.052241891154380174,0.0,0.1776935073278237,0.4969520275642725,0.4969520275642725,0.384,0.616,70.04429217689338,3.0870164712530176e-06,0.9999980860497878,0.014711316549073457,understeer,True,93.17740894125365,0.7778655853092005,-0.5404333567694501,throttle
0.03333333333333333,1049.9928985409517,359.75499252778985,-1.5710283894140038,0.0001866295451075889,0.35471997475094774,9.72484451600223,3.500944025760803,1.0,0.0,-0.7237496569101287,balanced,corner,0.22920502836987236,0.772321291246309,0.3475445810608391,0.4247767101854699,2800000.0,0.7,0.0,0.0,-0.09818350488606697,0.033058838341650805,108.17398878135221,-282.0268999565719,281.9421085892639,108.39479485760398,-0.08621115097739332,0.0014170133285938105,0.2932323750322845,0.49695915380418515,0.49695915380418515,0.384,0.616,70.0891998924337,6.1741214781251645e-06,0.9999961720446836,0.023846854868672877,understeer,True,93.24444432032888,0.7819459294181312,-0.5428122426825965,throttle
0.05,1049.914533430569,359.5150662798192,-1.5745539352425284,0.0003694586924912971,0.7022166720520073,15.143992273042173,5.451837218295182,1.0,0.0,-0.7295623671584419,balanced,corner,0.8260207390651116,2.7833307511976586,1.2524988380389463,1.5308319131587123,2800000.0,0.7,0.0,0.0,-0.13880383839429564,-0.21153274971147004,-323.41876548142983,-281.70759273761587,281.78263855732047,-323.3533829716786,0.2618514896691932,-0.008562698409339625,0.8906175891038164,0.4973234757048472,0.8906175891038164,0.384,0.616,70.1909860281789,1.6089117603388844e-05,0.9999900247470859,0.0711377442537693,understeer,True,93.37435529465161,0.7423032341015923,-0.5471717753688314,throttle
0.06666666666666667,1049.929010182068,359.19659120552205,-1.5731063189510062,0.0006120732334137973,1.1633452879988004,19.12823612927031,6.886165006537311,1.0,0.0,-0.7303326555973669,balanced,corner,2.0031172792961955,6.749634310671963,3.0373354398023835,3.7122988708695797,2800000.0,0.7,0.0,0.0,-0.17440247612581777,0.086856977491331,334.2307027740119,-282.7757747755267,281.5178732777445,335.29090131091397,-0.4191420324440139,0.029756091499890856,1.0,0.5015521231825407,1.0,0.384,0.616,70.30744830631795,2.8589117603388847e-05,0.9999822747470859,0.10899644695686744,understeer,True,93.56688462607063,0.7786864257844305,-0.5477494916980252,throttle
0.08333333333333333,1049.8622393334915,358.8002044853775,-1.5770908893671367,0.0009142019647211597,1.737590356640537,24.1182669621123,8.682576106360429,1.0,0.0,-0.7386768423397024,balanced,corner,3.1957696440754977,10.768354235471785,4.845759405962303,5.922594829509482,2800000.0,0.7,0.0,0.0,-0.20615623767971897,-0.2390742249678388,-292.49136027119397,-280.4819250507943,281.15682886347787,-291.8426694246848,0.36176235269059587,-0.06125462531440113,1.0,0.5162487182645551,1.0,0.384,0.616,70.42277912944864,4.1089117603388845e-05,0.9999745247470859,0.08327537427221962,understeer,True,93.82174788170359,0.7084346737458702,-0.5540076317547769,throttle
0.09999999999999999,1049.8177309480961,358.3257068272831,-1.5774713494452226,0.0012758777378470152,2.425014317499863,28.594833205795084,10.29413995408623,1.0,0.0,-0.7403919373306017,balanced,corner,5.0806328808677526,17.119523837706556,7.703785726967951,9.415738110738605,2800000.0,0.7,0.0,0.0,-0.2340651234262227,-0.02282760468515461,80.14486745186323,-281.19937661933943,280.6893323129856,81.9132951093543,-0.14901197022839668,0.07885654114709673,0.5067263561838428,0.5285466899449716,0.5285466899449716,0.384,0.616,70.47033903451484,4.458113764653617e-05,0.9999723596946591,0.018020924924057945,understeer,True,94.13813180779282,0.7053651495627197,-0.5552939529979513,throttle
0.11666666666666665,1049.7442311350076,357.77358840733666,-1.581232098073668,0.0016968902392604716,3.225217435313399,33.41935217513385,12.030966783048187,1.0,0.0,-0.7476630411774566,balanced,corner,7.141686037432802,24.0643768652627,10.828969589368215,13.235407275894486,2800000.0,0.7,0.0,0.0,-0.2590125534833105,-0.22564491770673245,-104.36913969557067,-279.43474266743976,280.12517865154126,-102.50159518687464,0.15310687586347838,-0.06773565646259253,0.520598353003194,0.5203879451051444,0.520598353003194,0.384,0.616,70.51705382378009,4.7968920710906644e-05,0.9999702592691593,0.02255035094111242,understeer,True,94.5154090894764,0.6663406461841953,-0.5607472808830924,throttle
0.13333333333333333,1049.6533389372146,357.1440203203203,-1.5842850412825427,0.0021771538747779257,4.138037024335814,38.165724467285315,13.739660808222714,1.0,0.0,-0.7511767261970558,balanced,corner,9.75487418697727,32.86968476046689,14.7913581422101,18.07832661825679,2800000.0,0.7,0.0,0.0,-0.2810962969471832,-0.18317659253247776,-62.612584936181904,-278.81880145165366,279.45701791938797,-59.69953911823868,0.0027407444900335864,0.040718395776083834,0.00931794790003932,0.5054195383506552,0.5054195383506552,0.384,0.616,70.56080889169021,5.1162032082739015e-05,0.9999682795401087,0.01313389860601251,oversteer,True,94.95256294231656,0.6424887581087266,-0.5633825446477918,throttle
0.15,1049.5460313819058,356.43725280206587,-1.5883796129784886,0.002716550034819319,5.1632476476609686,42.892037147111836,15.44113337296026,1.0,0.0,-0.7562276278546,balanced,corner,12.72250528123171,42.869311273715546,19.291190073171997,23.57812120054355,2800000.0,0.7,0.0,0.0,-0.30078576284824377,-0.2456743017567573,-59.09528705721008,-277.9179524570079,278.68976517412165,-55.34126884579628,0.05882573008301989,-0.014460627290195061,0.19996540856292783,0.4978224059602505,0.4978224059602505,0.384,0.616,70.603328632659,5.425987143118967e-05,0.9999663588797126,0.012175079146075182,understeer,True,95.44856994153243,0.6225440634174012,-0.56717072089095,throttle
0.16666666666666666,1049.4169633064246,355.65368309288027,-1.5930801679676947,0.003314899383903082,6.300508448874849,47.647709348318,17.153175365394482,1.0,0.0,-0.7605290688347927,balanced,corner,16.068634245108278,54.14431104329964,24.364939969484837,29.7793710738148,2800000.0,0.7,0.0,0.0,-0.31832589998273575,-0.2820332993523676,-78.33787262035014,-276.48788735216976,277.82251356019816,-73.46444785229014,0.052212456198267476,0.004806162259788232,0.17745538566700023,0.49678309032040063,0.49678309032040063,0.384,0.616,70.64590672401562,5.734478941654326e-05,0.9999644462305618,0.01616217852750383,understeer,True,96.00223305081003,0.6060718352008957,-0.5703968016260945,throttle
0.18333333333333332,1049.2656835333191,354.79368504040724,-1.5984806201565218,0.003972030069938909,7.549492794972487,52.39213673853743,18.861169225873475,1.0,0.0,-0.764634150217959,balanced,corner,19.829404512493937,66.81647172688174,30.067412277096786,36.74905944978496,2800000.0,0.7,0.0,0.0,-0.3339711383756958,-0.3240271313296224,-79.9621114471042,-275.1420358347866,276.8554406045435,-73.8115448832648,0.05596936164924565,0.0015730159219060668,0.19018832394520413,0.4966038746787491,0.4966038746787491,0.384,0.616,70.6883391347331,6.042748202086759e-05,0.9999625349611471,0.016238539874318256,understeer,True,96.61215251863408,0.598625138150744,-0.5734756126634692,throttle
0.19999999999999998,1049.0904328076695,353.8577132757181,-1.604589938210177,0.004687731736676396,8.909800869495083,57.134240697586435,20.568326651131116,1.0,0.0,-0.7683848251932514,balanced,corner,23.974957188384565,80.78518183042625,36.35333182369182,44.431850006734436,2800000.0,0.7,0.0,0.0,-0.34793264590524453,-0.3665590832193053,-86.2954291590965,-273.5053639780542,275.7892834896572,-78.69152642300229,0.05873901069925741,0.0025402845854730423,0.19955846269650662,0.4965465971021938,0.4965465971021938,0.384,0.616,70.73072435541332,6.35094635595397e-05,0.9999606241325931,0.017312135813060504,understeer,True,97.27679552017092,0.6008935389835444,-0.5762886188949385,throttle
0.21666666666666665,1048.8895229612665,352.8462808320229,-1.611418879340507,0.00546176453246728,10.380976795156084,61.87161931246891,22.27378295248881,1.0,0.0,-0.7717544490470486,balanced,corner,28.51139971278883,96.07102077135366,43.23195934710915,52.83906142424451,2800000.0,0.7,0.0,0.0,-0.360393262723,-0.4097364678198109,-92.37283471211505,-271.6584444216747,274.62435866596775,-83.1415217906298,0.06140758932692075,0.0032897155450516136,0.20857730629987686,0.49648392972195576,0.49648392972195576,0.384,0.616,70.77305406025177,6.659066721544165e-05,0.9999587137863264,0.018291134793938554,understeer,True,97.99444937114897,0.6143672085114883,-0.5788158367852865,throttle
0.2333333333333333,1048.6612104496012,351.7599658308977,-1.6189747494674498,0.006293854876850908,11.962500587544438,66.60288871174609,23.977039936228593,1.0,0.0,-0.7747077117167661,balanced,corner,33.43555863593445,112.66329540369217,50.69848293166148,61.964812472030694,2800000.0,0.7,0.0,0.0,-0.3715104139820905,-0.4533522076165648,-98.64959494484133,-269.57720674800936,273.36110657145673,-87.6203081190023,0.06398095740383025,0.004148320755144627,0.21726449416148497,0.4964244787590361,0.4964244787590361,0.384,0.616,70.81532936824962,6.967113300433142e-05,0.9999568038975373,0.019276467786180508,understeer,True,98.76323249087375,0.6398501960560838,-0.5810307837875746,throttle
0.24999999999999997,1048.4036888659912,350.5994158435084,-1.6272617922434267,0.007183692220920948,13.653781997671715,71.32669276866784,25.677609396720424,1.0,0.0,-0.7772140931263083,balanced,corner,38.744650736196014,130.55262748066048,58.74868236629722,71.80394511436326,2800000.0,0.7,0.0,0.0,-0.38141963398598655,-0.49722256655862096,-105.15265900073427,-267.2459505509748,271.9999797907153,-92.16013658122051,0.06648190792908076,0.005118329298548653,0.22569717293999064,0.49637136779266317,0.49637136779266317,0.384,0.616,70.85755239725535,7.27509396888859e-05,0.9999548944173929,0.020275230047868513,understeer,True,99.5810932407042,0.6775192880722121,-0.5829105698447312,throttle
0.26666666666666666,1048.1150848579966,349.36535243845253,-1.6362815130200294,0.008130925646893604,15.454154048895298,76.04168028169221,27.3750049014092,1.0,0.0,-0.7792465718036029,balanced,corner,44.4354715571687,149.72821937741625,67.37769871983731,82.35052065757894,2800000.0,0.7,0.0,0.0,-0.3902375561934994,-0.5411832465961581,-111.89672778425069,-264.6483035995409,270.5414639950007,-96.7828422106894,0.06892730850142226,0.00619991835425283,0.2339323395366039,0.49632806606736957,0.49632806606736957,0.384,0.616,70.89972612014247,7.58302090534631e-05,0.9999529852703869,0.021292225286351666,understeer,True,100.44581146734572,0.7270251884548635,-0.5844349288527022,throttle
0.2833333333333333,1047.793456315932,348.05857589471447,-1.6460329457463163,0.009135160331022926,17.36286631411045,80.74648893669888,29.0687360172116,1.0,0.0,-0.7807810806745668,balanced,corner,50.50437816559612,170.17779599276955,76.58000819674629,93.59778779602325,2800000.0,0.7,0.0,0.0,-0.3980644900182181,-0.5850859635772174,-118.888322652089,-261.7672992558249,268.98609094594633,-101.50386741565518,0.07132988706755067,0.007392472441442266,0.24201291637800698,0.4962983820421989,0.4962983820421989,0.384,0.616,70.94185429297123,7.89091101036844e-05,0.9999510763517357,0.02233085083144414,understeer,True,101.35500176690408,0.7876831925612682,-0.5855858105059251,throttle
0.3,1047.4367925023034,346.6799700291031,-1.6565128726159248,0.010195953908962293,19.379078007525326,85.43973051888962,30.758302986800267,1.0,0.0,-0.7817960762072946,balanced,corner,56.947270482798054,191.8875418442108,86.34939382989486,105.53814801431594,2800000.0,0.7,0.0,0.0,-0.4049866442909697,-0.6287956121765153,-126.12697763036158,-258.5855587439102,267.33445320325455,-106.33341811296611,0.07369896501531364,0.00869474122707583,0.24997025053639918,0.4962864234686543,0.4962864234686543,0.384,0.616,70.98394139878661,8.198786278017575e-05,0.9999491675250763,0.023393351984852546,understeer,True,102.30611865528553,0.8586679758671499,-0.586347057155471,throttle
