z0,z1,phase
1.161469,-0.872866,braking
1.183370,-0.792963,braking
1.208626,-0.713973,braking
1.237750,-0.637200,braking
1.324023,-0.642238,braking
1.505798,-0.795753,coast
1.651554,-0.911520,coast
1.765435,-0.991881,coast
1.851553,-1.039749,coast
1.914153,-1.058720,coast
1.957572,-1.052965,coast
1.986076,-1.026930,coast
2.008204,-0.990597,coast
2.029446,-0.951362,coast
2.049611,-0.908692,coast
2.068760,-0.862456,coast
2.087028,-0.812594,coast
2.104519,-0.759025,cornering
2.121760,-0.702210,cornering
2.138485,-0.641559,cornering
2.154807,-0.576990,cornering
2.170890,-0.508459,cornering
2.186815,-0.435844,cornering
2.202726,-0.359072,cornering
2.218725,-0.278027,cornering
2.234932,-0.192608,cornering
2.251441,-0.102686,cornering
2.268364,-0.008151,cornering
2.285785,0.091132,cornering
2.303793,0.195285,cornering
2.322483,0.304409,cornering
2.341932,0.418610,cornering
2.362189,0.537985,cornering
2.383322,0.662586,cornering
2.405353,0.792457,cornering
2.428332,0.927566,cornering
2.452214,1.067893,cornering
2.477019,1.213289,cornering
2.502664,1.363592,cornering
2.529095,1.518520,cornering
2.556161,1.677748,cornering
2.583708,1.840839,cornering
2.611568,2.007236,cornering
2.639494,2.176325,cornering
2.667194,2.347399,cornering
2.694394,2.519640,cornering
2.720740,2.692202,cornering
2.745860,2.864189,cornering
2.769417,3.034657,cornering
2.791009,3.202705,cornering
2.810313,3.367419,cornering
2.826978,3.527981,cornering
2.840707,3.683629,cornering
2.851230,3.833713,cornering
2.858375,3.977648,cornering
2.861978,4.114997,cornering
2.861949,4.245424,cornering
2.858255,4.368691,cornering
2.850917,4.484661,cornering
2.829859,4.605549,cornering
2.793088,4.730614,cornering
2.743045,4.854425,cornering
2.679958,4.975222,cornering
2.603837,5.091717,cornering
2.514600,5.202907,cornering
2.412070,5.308039,cornering
2.296082,5.406509,cornering
2.166480,5.497855,cornering
2.023173,5.581726,cornering
1.866191,5.657872,cornering
1.695742,5.726109,cornering
1.512240,5.786367,cornering
1.316389,5.838643,cornering
1.109210,5.883006,cornering
0.892077,5.919584,cornering
0.666670,5.948606,cornering
0.435002,5.970299,cornering
0.199289,5.984959,cornering
-0.038115,5.992897,cornering
-0.274838,5.994436,cornering
-0.508585,5.989884,cornering
-0.737225,5.979537,cornering
-0.958878,5.963697,cornering
-1.171935,5.942652,cornering
-1.375062,5.916662,cornering
-1.567194,5.885953,cornering
-1.747543,5.850761,cornering
-1.915524,5.811223,cornering
-2.070782,5.767451,cornering
-2.213130,5.719483,cornering
-2.342554,5.667297,cornering
-2.459142,5.610766,cornering
-2.563089,5.549696,cornering
-2.654657,5.483829,cornering
-2.734144,5.412830,cornering
-3.272967,5.525391,cornering
-3.353710,5.446721,cornering
-3.414387,5.360180,cornering
-3.471839,5.272962,cornering
-3.525447,5.184669,cornering
-3.574712,5.094862,cornering
-3.619203,5.003039,cornering
-3.658534,4.908637,cornering
-3.692391,4.811108,cornering
-3.720504,4.709900,cornering
-3.742622,4.604414,cornering
-3.758561,4.494107,cornering
-3.768179,4.378442,deploy
-3.771382,4.256912,deploy
-3.768136,4.129054,deploy
-3.758460,3.994457,deploy
-3.742450,3.852828,deploy
-3.720236,3.703932,deploy
-3.692029,3.547720,deploy
-3.658054,3.384259,deploy
-5.737519,2.517535,deploy
-5.737346,2.316148,deploy
-5.730968,2.113207,deploy
-5.718325,1.910257,deploy
-5.699467,1.708837,deploy
-5.674522,1.510374,deploy
-5.643763,1.316186,deploy
-5.607583,1.127451,deploy
-5.566441,0.945103,deploy
-5.520899,0.769925,deploy
-5.471559,0.602487,deploy
-5.419083,0.443213,deploy
-5.364125,0.292356,deploy
-5.307357,0.150056,deploy
-5.249439,0.016364,deploy
-5.190989,-0.108780,deploy
-5.132598,-0.225488,deploy
-5.074804,-0.333940,deploy
-5.018127,-0.434312,deploy
-4.963009,-0.526854,deploy
-4.909840,-0.611842,deploy
-4.858976,-0.689537,deploy
-4.810715,-0.760231,deploy
-4.765298,-0.824235,deploy
-4.722936,-0.881840,deploy
-4.683774,-0.933362,deploy
-4.647940,-0.979090,deploy
-4.615500,-1.019342,deploy
-4.586498,-1.054412,deploy
-4.560949,-1.084576,deploy
-4.538825,-1.110134,deploy
-4.520088,-1.131347,deploy
-4.504652,-1.148516,deploy
-4.492439,-1.161873,deploy
-4.483334,-1.171690,deploy
-4.477212,-1.178214,deploy
-4.473934,-1.181688,deploy
-4.473358,-1.182331,deploy
-4.475306,-1.180403,deploy
-4.479628,-1.176098,deploy
-4.486143,-1.169648,deploy
-4.494670,-1.161268,deploy
-4.505030,-1.151165,deploy
-4.517039,-1.139543,deploy
-4.530514,-1.126601,deploy
-4.545274,-1.112534,deploy
-4.561136,-1.097532,deploy
-4.577926,-1.081779,deploy
-4.595470,-1.065456,deploy
-4.613600,-1.048739,deploy
-4.632151,-1.031798,deploy
-4.650978,-1.014782,deploy
-4.669917,-0.997880,deploy
-4.688834,-0.981229,deploy
-4.707594,-0.964975,deploy
-4.726075,-0.949256,deploy
-4.744156,-0.934205,deploy
-4.761734,-0.919942,deploy
-4.778704,-0.906585,deploy
-4.794977,-0.894240,deploy
-4.810470,-0.883006,deploy
-4.825107,-0.872971,deploy
-4.838819,-0.864216,deploy
-4.851547,-0.856810,deploy
-4.863231,-0.850830,deploy
-4.873839,-0.846298,deploy
-4.883323,-0.843268,deploy
-4.891643,-0.841791,deploy
-4.898777,-0.841873,deploy
-4.904709,-0.843512,deploy
-4.909409,-0.846744,deploy
-4.912868,-0.851548,deploy
-4.915086,-0.857895,deploy
-4.916046,-0.865796,deploy
-4.915751,-0.875205,deploy
-4.914206,-0.886085,deploy
-4.911416,-0.898392,deploy
-4.907394,-0.912074,deploy
-4.902149,-0.927076,deploy
-4.895691,-0.943350,deploy
-4.888054,-0.960795,deploy
-4.879253,-0.979354,deploy
-4.869309,-0.998951,deploy
-4.858245,-1.019518,deploy
-4.846101,-1.040941,deploy
-4.832901,-1.063146,deploy
-4.818676,-1.086061,deploy
-4.803471,-1.109561,deploy
-4.787312,-1.133586,deploy
-4.770252,-1.158008,deploy
-4.752319,-1.182766,deploy
-4.733572,-1.207732,deploy
-4.714042,-1.232843,deploy
-4.693791,-1.257974,deploy
-4.672853,-1.283062,deploy
-4.651292,-1.307986,deploy
-4.629148,-1.332685,deploy
-4.606484,-1.357055,deploy
-4.543166,-1.415870,deploy
-4.475532,-1.475424,deploy
-4.405595,-1.533840,deploy
-4.333303,-1.591111,deploy
-4.258584,-1.647263,deploy
-4.181376,-1.702306,deploy
-4.101631,-1.756234,deploy
-1.152837,-1.143166,deploy
-1.065417,-1.195428,deploy
-0.976040,-1.246753,deploy
-0.884740,-1.297159,deploy
-0.791546,-1.346702,deploy
-0.696526,-1.395366,deploy
-0.599736,-1.443187,deploy
-0.501249,-1.490179,deploy
-0.401160,-1.536337,deploy
-0.299549,-1.581701,deploy
-0.196545,-1.626237,coast
0.603721,-2.180945,coast
0.657368,-2.164694,coast
0.711179,-2.148662,coast
0.765109,-2.132708,coast
0.819138,-2.116746,coast
0.873246,-2.100695,coast
0.927390,-2.084431,coast
0.981559,-2.067888,coast
1.035741,-2.050997,coast
1.089930,-2.033692,coast
1.144126,-2.015922,coast
1.198348,-1.997661,coast
1.252587,-1.978841,coast
1.306535,-1.958912,coast
1.360552,-1.938421,coast
1.414653,-1.917343,coast
1.471894,-1.897160,coast
1.520911,-1.864962,coast
1.554251,-1.814028,coast
1.577768,-1.749591,coast
1.596091,-1.675945,coast
1.612697,-1.596487,braking
1.630114,-1.513908,braking
1.650112,-1.430312,braking
1.673831,-1.347303,braking
1.702008,-1.266195,braking
1.735038,-1.188026,braking
1.925573,-1.299232,coast
2.111420,-1.419513,coast
2.257488,-1.505325,coast
2.368330,-1.558719,coast
2.448668,-1.582510,coast
2.503474,-1.580316,coast
2.537815,-1.556322,coast
2.557849,-1.516008,coast
2.575476,-1.471588,coast
2.591600,-1.423985,coast
2.606319,-1.373117,coast
2.619719,-1.318893,coast
2.631928,-1.261254,coast
2.643495,-1.200666,cornering
2.654145,-1.136562,cornering
2.664031,-1.068908,cornering
2.673275,-0.997628,cornering
2.682026,-0.922670,cornering
2.690382,-0.843927,cornering
2.698514,-0.761361,cornering
2.706496,-0.674833,cornering
2.714474,-0.584275,cornering
2.722542,-0.489565,cornering
2.730820,-0.390611,cornering
2.739388,-0.287288,cornering
2.748354,-0.179507,cornering
2.757783,-0.067152,cornering
2.767761,0.049848,cornering
2.778347,0.171565,cornering
2.789570,0.298060,cornering
2.801472,0.429334,cornering
2.814044,0.565379,cornering
2.827301,0.706094,cornering
2.841168,0.851377,cornering
2.855569,1.001036,cornering
2.870433,1.154769,cornering
2.885585,1.312253,cornering
2.900876,1.473022,cornering
2.916059,1.636575,cornering
2.930901,1.802289,cornering
2.945114,1.969471,cornering
2.958385,2.137368,cornering
2.970383,2.305176,cornering
2.980762,2.472061,cornering
2.989189,2.637173,cornering
2.995295,2.799717,cornering
2.998774,2.958898,cornering
2.999330,3.113996,cornering
2.996718,3.264349,cornering
2.990693,3.409425,cornering
2.981107,3.548724,cornering
2.967810,3.681898,cornering
2.950739,3.808646,cornering
2.929883,3.928747,cornering
2.902781,4.044820,cornering
2.855396,4.170980,cornering
2.793069,4.297469,cornering
2.716026,4.422369,cornering
2.624343,4.544190,cornering
2.517972,4.661803,cornering
2.396832,4.774323,cornering
2.260892,4.881028,cornering
2.110247,4.981303,cornering
1.945097,5.074693,cornering
1.765891,5.160782,cornering
1.573302,5.239276,cornering
1.368301,5.309948,cornering
1.152183,5.372635,cornering
0.926534,5.427293,cornering
0.693237,5.473938,cornering
0.454408,5.512687,cornering
0.212319,5.543730,cornering
-0.030684,5.567327,cornering
-0.272306,5.583836,cornering
-0.510360,5.593627,cornering
-0.742859,5.597106,cornering
-0.968083,5.594710,cornering
-1.184572,5.586814,cornering
-1.391182,5.573797,cornering
-1.587057,5.555986,cornering
-1.771611,5.533634,cornering
-1.944508,5.506938,cornering
-2.105611,5.475994,cornering
-2.254966,5.440846,cornering
-2.392745,5.401466,cornering
-2.519217,5.357756,cornering
-2.634699,5.309554,cornering
-2.739536,5.256634,cornering
-2.834076,5.198727,cornering
-2.918643,5.135492,cornering
-3.344690,5.267296,cornering
-3.439503,5.202315,cornering
-3.505806,5.120654,cornering
-3.569020,5.038157,cornering
-3.628985,4.954569,cornering
-3.685241,4.869277,cornering
-3.737421,4.781624,cornering
-3.785235,4.690930,cornering
-3.828430,4.596456,cornering
-3.866827,4.497501,cornering
-3.900254,4.393331,cornering
-3.928599,4.283274,cornering
-3.951746,4.166655,deploy
-3.969625,4.042891,deploy
-3.982175,3.911459,deploy
-3.989350,3.771930,deploy
-3.991147,3.624029,deploy
-3.987549,3.467580,deploy
-3.978601,3.302627,deploy
-3.964332,3.129363,deploy
-5.896087,2.045609,deploy
-5.918513,1.822750,deploy
-5.935981,1.596616,deploy
-5.948196,1.369146,deploy
-5.954955,1.142385,deploy
-5.956120,0.918355,deploy
-5.951603,0.698917,deploy
-5.941472,0.485814,deploy
-5.925865,0.280500,deploy
-5.905014,0.084153,deploy
-5.879264,-0.102322,deploy
-5.849050,-0.278280,deploy
-5.814865,-0.443340,deploy
-5.777227,-0.597369,deploy
-5.736742,-0.740352,deploy
-5.693965,-0.872501,deploy
-5.649489,-0.994093,deploy
-5.603885,-1.105500,deploy
-5.557712,-1.207142,deploy
-5.511459,-1.299517,deploy
-5.465611,-1.383103,deploy
-5.420599,-1.458400,deploy
